network_id,network_name,station_number,station_name,lat,lon,epic_dist_km,fault_dist_km,pga_g,pgv_cms,pgd_cm,sa_0p3_g,sa_1p0_g,sa_3p0_g,struct_apk_g,label_damage_state
NP,NSMP,10047,Somnath Temple Heritage Site,18.83806,28.61497,26.1,,0.014,1.3,0.3,0.076,0.018,0.003,,None
CI,IGPP,10048,Acropolis Athens Heritage Site,26.21131,15.02046,6.5,,0.036,1.52,0.3,0.061,0.009,0.001,,None
NP,CGS,10049,Ellora Kailasa Temple Heritage Site,35.33738,99.17838,55.1,,0.033,1.33,0.2,0.073,0.012,0,,None
AZ,NSMP,10050,Fatehpur Sikri Heritage Site,32.6684,38.08526,7.5,,0.013,0.61,0.3,0.147,0.02,0.001,,None
CE,CGS,10051,Charminar Heritage Site,36.61898,-96.5591,19.9,,0.121,3.91,0.3,0.124,0.024,0.004,,Slight
CE,SCSN,10052,Colosseum Rome Heritage Site,16.86047,-87.69567,21.6,,0.133,4.91,0.5,0.088,0.039,0.004,,Slight
CI,CGS,10053,Machu Picchu Peru Heritage Site,27.24682,-40.44955,28.7,,0.104,2.31,0.5,0.171,0.02,0.003,,Slight
NP,IGPP,10054,Red Fort Delhi Heritage Site,27.75977,-34.32729,12.1,,0.077,2.75,0.3,0.2,0.018,0.006,,Slight
CE,IGPP,10055,Charminar Heritage Site,19.33782,-4.91938,15.9,,0.102,3.24,0.5,0.143,0.048,0.004,,Slight
CE,CGS,10056,St. Basil's Cathedral Moscow Heritage Site,25.89751,25.39589,13.6,,0.081,4.55,0.2,0.117,0.01,0.005,,Slight
AZ,CGS,10057,Borobudur Indonesia Heritage Site,30.01653,69.92003,23.6,,0.064,4.33,0.4,0.24,0.039,0.003,,Slight
CI,CGS,10058,Bagan Myanmar Heritage Site,21.38048,-2.93773,17.8,,0.123,2.91,0.4,0.149,0.046,0.005,,Slight
CE,IGPP,10059,Konark Sun Temple Heritage Site,35.26894,31.86071,52.3,,0.052,4.4,0.4,0.108,0.037,0.004,,Slight
AZ,CGS,10060,St. Basil's Cathedral Moscow Heritage Site,23.12307,-57.63798,54.7,,0.087,2.42,0.4,0.248,0.024,0.003,,Slight
CI,IGPP,10061,Somnath Temple Heritage Site,36.2195,-79.71235,44.1,,0.085,2.15,0.3,0.132,0.023,0.005,,Slight
AZ,NSMP,10062,Fatehpur Sikri Heritage Site,29.42378,69.48512,41,,0.09,4.97,0.5,0.244,0.043,0.005,,Slight
AZ,IGPP,10063,Petra Jordan Heritage Site,31.57963,-99.36913,47.8,,0.123,2.02,0.4,0.156,0.022,0.006,,Slight
CI,SCSN,10064,Jaisalmer Fort Heritage Site,23.96176,2.85794,40.7,,0.058,4.6,0.3,0.165,0.036,0.005,,Slight
NP,CGS,10065,Chichen Itza Mexico Heritage Site,39.20699,-46.67769,41.7,,0.085,4.36,0.3,0.158,0.036,0.002,,Slight
CE,NSMP,10066,Sun Temple Modhera Heritage Site,34.10691,56.30809,42.8,,0.12,2.73,0.3,0.193,0.04,0.005,,Slight
CE,SCSN,10067,Konark Sun Temple Heritage Site,16.02102,16.97512,35.8,,0.056,4.5,0.4,0.146,0.026,0.004,,Slight
CI,NSMP,10068,Red Fort Delhi Heritage Site,36.27442,93.12852,35.2,,0.081,4.68,0.5,0.089,0.046,0.004,,Slight
NP,NSMP,10069,Borobudur Indonesia Heritage Site,38.92134,-18.35031,6.4,,0.119,2.17,0.5,0.144,0.016,0.003,,Slight
NP,NSMP,10070,Brihadeeswarar Temple Heritage Site,25.41827,-6.12891,31.9,,0.086,2.49,0.4,0.229,0.011,0.005,,Slight
AZ,IGPP,10071,Jaisalmer Fort Heritage Site,13.795,27.88006,17.7,,0.147,2.66,0.4,0.124,0.028,0.004,,Slight
CI,SCSN,10072,Charminar Heritage Site,11.51753,83.11301,48.6,,0.121,4.73,0.4,0.173,0.012,0.002,,Slight
AZ,NSMP,10073,Bagan Myanmar Heritage Site,24.46895,-17.50978,47.6,,0.123,2.97,0.6,0.195,0.044,0.006,,Slight
AZ,SCSN,10074,Ajanta Caves Heritage Site,25.11628,-3.31509,5.7,,0.085,4.27,0.4,0.147,0.023,0.002,,Slight
NP,NSMP,10075,Meenakshi Temple Heritage Site,10.89749,17.46205,16.9,,0.144,2.12,0.3,0.147,0.013,0.006,,Slight
NP,SCSN,10076,Brihadeeswarar Temple Heritage Site,13.2582,63.97206,40.6,,0.093,3.82,0.4,0.144,0.039,0.005,,Slight
CE,IGPP,10077,Golconda Fort Heritage Site,28.57503,65.97499,37.3,,0.076,3.77,0.6,0.243,0.024,0.003,,Slight
CI,IGPP,10078,Golden Temple Amritsar Heritage Site,21.49229,-73.21848,42.8,,0.067,4.59,0.6,0.249,0.043,0.001,,Slight
AZ,NSMP,10079,Sun Temple Modhera Heritage Site,18.3714,6.34267,5.9,,0.108,4.72,0.5,0.175,0.046,0.003,,Slight
CI,IGPP,10080,Great Wall China Heritage Site,36.18119,-35.23265,5.8,,0.052,2.45,0.4,0.102,0.038,0.004,,Slight
CI,SCSN,10081,Fatehpur Sikri Heritage Site,23.91957,-108.55632,55.2,,0.097,3.89,0.2,0.216,0.031,0.002,,Slight
CE,IGPP,10082,Konark Sun Temple Heritage Site,24.80085,45.7739,14.7,,0.074,2.35,0.3,0.217,0.034,0.001,,Slight
CE,NSMP,10083,Jaisalmer Fort Heritage Site,34.29635,-109.44543,37,,0.095,2.77,0.4,0.205,0.046,0.004,,Slight
NP,CGS,10084,Ellora Kailasa Temple Heritage Site,10.33758,-5.84229,51,,0.082,3.72,0.6,0.178,0.017,0.005,,Slight
NP,IGPP,10085,Angkor Wat Cambodia Heritage Site,13.36525,-71.36934,58.7,,0.085,4.54,0.5,0.157,0.016,0.005,,Slight
CI,IGPP,10086,Stonehenge UK Heritage Site,16.23033,96.31393,34.3,,0.066,4.64,0.4,0.183,0.037,0.004,,Slight
CE,SCSN,10087,Borobudur Indonesia Heritage Site,16.75048,48.67099,28.7,,0.081,2.18,0.2,0.185,0.012,0.002,,Slight
CI,CGS,10088,Sigiriya Sri Lanka Heritage Site,30.32766,-101.03279,30.3,,0.08,2.98,0.3,0.138,0.018,0.006,,Slight
AZ,IGPP,10089,Kyoto Temples Japan Heritage Site,34.65325,-87.73613,15.2,,0.092,4.4,0.2,0.108,0.041,0.004,,Slight
AZ,SCSN,10090,Machu Picchu Peru Heritage Site,28.9284,-53.78598,44.2,,0.05,3.9,0.2,0.141,0.013,0.002,,Slight
CI,SCSN,10091,Konark Sun Temple Heritage Site,23.26432,-17.40736,53.6,,0.138,3.73,0.3,0.244,0.025,0.004,,Slight
NP,CGS,10092,Sun Temple Modhera Heritage Site,36.32705,17.89101,38.8,,0.126,4.71,0.3,0.192,0.034,0.003,,Slight
AZ,IGPP,10093,Mount Fuji Japan Heritage Site,33.5485,15.04081,37.8,,0.135,4.29,0.5,0.212,0.02,0.006,,Slight
CI,IGPP,10094,Mahabalipuram Shore Temple Heritage Site,13.68229,-73.91169,20.6,,0.091,3.45,0.3,0.151,0.045,0.002,,Slight
AZ,NSMP,10095,Machu Picchu Peru Heritage Site,19.25638,-69.22834,10.6,,0.059,4.74,0.3,0.197,0.036,0.001,,Slight
NP,CGS,10096,Borobudur Indonesia Heritage Site,14.62572,13.00459,27.4,,0.079,4.84,0.4,0.155,0.04,0.006,,Slight
CI,CGS,10097,Ellora Kailasa Temple Heritage Site,34.9442,49.97199,18.7,,0.056,3.76,0.3,0.227,0.016,0.003,,Slight
CE,NSMP,10098,Somnath Temple Heritage Site,33.7011,-26.13244,46.6,,0.097,2.26,0.3,0.096,0.045,0.002,,Slight
AZ,IGPP,10099,Qutub Minar Heritage Site,23.38114,11.54345,36.5,,0.093,3.01,0.5,0.136,0.03,0.002,,Slight
CI,CGS,10100,Brihadeeswarar Temple Heritage Site,10.5498,34.00066,38.7,,0.097,3.1,0.3,0.104,0.028,0.002,,Slight
CI,SCSN,10101,Mount Fuji Japan Heritage Site,34.64178,-13.00126,52.5,,0.24,5.37,0.6,0.222,0.036,0.007,,Moderate
AZ,NSMP,10102,Mount Kailash Heritage Site,13.63426,-82.6484,46.7,,0.241,9.4,0.3,0.21,0.037,0.004,,Moderate
CE,CGS,10103,Neuschwanstein Castle Germany Heritage Site,16.44082,-44.39097,27.9,,0.157,7.4,0.5,0.194,0.068,0.004,,Moderate
CI,SCSN,10104,Taj Mahal Heritage Site,27.90989,31.22268,37.5,,0.153,7.42,0.7,0.36,0.031,0.002,,Moderate
CE,CGS,10105,Khajuraho Temples Heritage Site,23.81434,65.18348,20.4,,0.188,7.64,0.7,0.276,0.058,0.007,,Moderate
CE,CGS,10106,Jaisalmer Fort Heritage Site,10.019,-32.30094,53.4,,0.217,7.92,0.5,0.22,0.06,0.007,,Moderate
CI,NSMP,10107,Versailles Palace France Heritage Site,31.6262,-23.55445,30.6,,0.244,5.19,0.8,0.257,0.048,0.005,,Moderate
NP,CGS,10108,Konark Sun Temple Heritage Site,35.93111,-49.08319,5.4,,0.214,6.17,0.6,0.19,0.07,0.007,,Moderate
CE,SCSN,10109,Jaisalmer Fort Heritage Site,20.59247,-90.9268,44.9,,0.175,8.63,0.6,0.352,0.07,0.003,,Moderate
CE,CGS,10110,Mount Fuji Japan Heritage Site,10.54153,-85.84173,45,,0.198,9.33,0.4,0.368,0.037,0.007,,Moderate
NP,IGPP,10111,Petra Jordan Heritage Site,17.69606,-48.42193,21.5,,0.164,7.64,0.7,0.271,0.049,0.005,,Moderate
AZ,IGPP,10112,Neuschwanstein Castle Germany Heritage Site,12.16046,43.02262,52.5,,0.231,7.95,0.6,0.258,0.041,0.004,,Moderate
NP,SCSN,10113,Mahabalipuram Shore Temple Heritage Site,31.00364,-51.62146,54.2,,0.166,5.55,0.4,0.184,0.052,0.003,,Moderate
AZ,SCSN,10114,St. Basil's Cathedral Moscow Heritage Site,10.57738,36.84529,54.3,,0.158,6.78,0.5,0.202,0.024,0.007,,Moderate
AZ,SCSN,10115,Stonehenge UK Heritage Site,17.12405,62.40774,57.3,,0.194,9.92,0.5,0.226,0.051,0.006,,Moderate
NP,SCSN,10116,Bagan Myanmar Heritage Site,34.23041,-19.01813,47.4,,0.239,7.44,0.6,0.387,0.023,0.006,,Moderate
NP,SCSN,10117,Acropolis Athens Heritage Site,37.86592,26.10197,34.9,,0.16,5.97,0.6,0.178,0.023,0.006,,Moderate
CE,CGS,10118,Golconda Fort Heritage Site,26.12659,56.17383,36.2,,0.223,6.93,0.5,0.349,0.028,0.007,,Moderate
NP,NSMP,10119,Great Wall China Heritage Site,22.33559,-118.29836,12.9,,0.238,6.99,0.5,0.309,0.024,0.004,,Moderate
CE,SCSN,10120,Ajanta Caves Heritage Site,16.3974,-88.14965,20.9,,0.184,9.96,0.4,0.263,0.058,0.002,,Moderate
AZ,IGPP,10121,Ajanta Caves Heritage Site,39.37911,-29.60031,14.5,,0.184,8.16,0.7,0.164,0.042,0.004,,Moderate
AZ,SCSN,10122,Golden Temple Amritsar Heritage Site,13.78077,71.7817,25.6,,0.237,5.71,0.8,0.189,0.068,0.007,,Moderate
NP,SCSN,10123,Sun Temple Modhera Heritage Site,15.18778,-100.73956,47.1,,0.193,8.18,0.4,0.347,0.022,0.003,,Moderate
AZ,SCSN,10124,Stonehenge UK Heritage Site,29.11965,-101.69306,18.6,,0.239,9.12,0.6,0.268,0.068,0.007,,Moderate
CI,IGPP,10125,Fatehpur Sikri Heritage Site,33.04722,76.63539,39.8,,0.208,5.67,0.6,0.289,0.042,0.003,,Moderate
AZ,SCSN,10126,Mahabalipuram Shore Temple Heritage Site,15.07123,-108.34934,35.5,,0.157,8.51,0.8,0.217,0.04,0.004,,Moderate
CE,CGS,10127,Shirdi Sai Temple Heritage Site,30.09959,1.82055,44.5,,0.162,8.04,0.6,0.386,0.045,0.004,,Moderate
CI,IGPP,10128,Chichen Itza Mexico Heritage Site,26.13333,-94.20621,32.6,,0.164,5.54,0.3,0.358,0.057,0.005,,Moderate
CI,SCSN,10129,Konark Sun Temple Heritage Site,34.50542,37.67676,5.4,,0.222,6.69,0.8,0.305,0.026,0.004,,Moderate
NP,IGPP,10130,Acropolis Athens Heritage Site,31.1,83.1685,29.1,,0.156,8.94,0.7,0.278,0.055,0.007,,Moderate
AZ,NSMP,10131,Bagan Myanmar Heritage Site,13.9348,-97.02976,48.1,,0.196,8.61,0.4,0.212,0.05,0.008,,Moderate
CE,CGS,10132,Shirdi Sai Temple Heritage Site,14.33955,44.36031,57.2,,0.186,6.5,0.6,0.35,0.03,0.008,,Moderate
NP,NSMP,10133,Bagan Myanmar Heritage Site,23.67556,-15.77423,40.6,,0.215,7.45,0.6,0.168,0.036,0.007,,Moderate
NP,IGPP,10134,Petra Jordan Heritage Site,29.6126,-53.22742,47,,0.168,6.61,0.5,0.287,0.032,0.004,,Moderate
CE,IGPP,10135,Red Fort Delhi Heritage Site,17.34264,-67.88267,24.8,,0.157,8.21,0.3,0.21,0.044,0.003,,Moderate
NP,CGS,10136,Sigiriya Sri Lanka Heritage Site,27.54211,76.68377,8.3,,0.197,7.2,0.7,0.399,0.057,0.007,,Moderate
AZ,NSMP,10137,Colosseum Rome Heritage Site,26.66579,-5.31116,58.1,,0.197,8.62,0.4,0.354,0.026,0.005,,Moderate
CI,CGS,10138,Golden Temple Amritsar Heritage Site,23.33958,77.69666,32.2,,0.209,9.09,0.7,0.324,0.052,0.003,,Moderate
CE,CGS,10139,Charminar Heritage Site,13.30443,48.55035,26,,0.187,9.25,0.5,0.342,0.06,0.002,,Moderate
CI,SCSN,10140,Colosseum Rome Heritage Site,19.87426,-48.89768,36.4,,0.223,9.72,0.3,0.254,0.035,0.007,,Moderate
CE,IGPP,10141,Borobudur Indonesia Heritage Site,33.07325,59.75642,22.3,,0.165,7.41,0.6,0.245,0.046,0.008,,Moderate
AZ,IGPP,10142,Borobudur Indonesia Heritage Site,18.46564,95.21171,57.7,,0.15,9.88,0.6,0.249,0.059,0.008,,Moderate
NP,NSMP,10143,Mount Kailash Heritage Site,34.05221,2.1548,6.6,,0.167,9.41,0.8,0.346,0.038,0.008,,Moderate
NP,NSMP,10144,Somnath Temple Heritage Site,20.89658,65.05666,8.8,,0.177,8.45,0.4,0.391,0.043,0.004,,Moderate
CE,IGPP,10145,Acropolis Athens Heritage Site,36.03889,23.26497,40.5,,0.174,7.7,0.5,0.371,0.056,0.005,,Moderate
AZ,CGS,10146,Kyoto Temples Japan Heritage Site,16.79789,-72.5233,54.3,,0.153,6.29,0.4,0.353,0.036,0.005,,Moderate
CE,SCSN,10147,Colosseum Rome Heritage Site,17.18023,26.62987,49.9,,0.225,7.64,0.4,0.197,0.032,0.005,,Moderate
AZ,SCSN,10148,Jaisalmer Fort Heritage Site,32.95234,-63.67471,18,,0.207,9.98,0.7,0.267,0.021,0.004,,Moderate
CE,SCSN,10149,Konark Sun Temple Heritage Site,19.46809,57.24969,5.8,,0.229,7.54,0.7,0.392,0.055,0.007,,Moderate
AZ,SCSN,10150,Red Fort Delhi Heritage Site,38.28809,54.72482,16.9,,0.186,8.74,0.8,0.18,0.057,0.004,,Moderate
CE,NSMP,10151,Versailles Palace France Heritage Site,24.85202,-71.98057,15.4,,0.449,12.13,1.1,0.287,0.074,0.006,,High
AZ,CGS,10152,Hampi Virupaksha Temple Heritage Site,38.43037,-16.5254,22.8,,0.447,14.25,0.8,0.314,0.054,0.008,,High
CI,IGPP,10153,Sigiriya Sri Lanka Heritage Site,17.42299,-106.20157,8.9,,0.363,15.43,1.2,0.533,0.072,0.007,,High
CE,IGPP,10154,Konark Sun Temple Heritage Site,10.47959,-43.17482,38.1,,0.416,18.13,1.4,0.424,0.076,0.01,,High
CE,IGPP,10155,Petra Jordan Heritage Site,27.19651,-52.51919,12.6,,0.429,13.19,0.6,0.47,0.069,0.004,,High
CE,SCSN,10156,Hampi Virupaksha Temple Heritage Site,13.36243,-100.09206,23.1,,0.281,17.23,0.7,0.555,0.046,0.01,,High
AZ,CGS,10157,Taj Mahal Heritage Site,31.39171,-41.48035,21.6,,0.31,10.08,1.5,0.487,0.061,0.007,,High
CI,SCSN,10158,Ajanta Caves Heritage Site,22.5636,2.5846,31.1,,0.296,16.03,0.8,0.427,0.041,0.009,,High
CI,IGPP,10159,Charminar Heritage Site,35.69603,7.23137,34.4,,0.303,18.97,0.9,0.377,0.077,0.006,,High
AZ,CGS,10160,Versailles Palace France Heritage Site,16.63232,-78.03845,57.1,,0.401,16.35,1.4,0.364,0.063,0.009,,High
CE,CGS,10161,Acropolis Athens Heritage Site,18.14963,-101.1597,11.9,,0.256,10.88,0.7,0.38,0.057,0.007,,High
NP,IGPP,10162,Golden Temple Amritsar Heritage Site,12.08163,91.30758,19.4,,0.382,15.31,0.8,0.392,0.067,0.007,,High
CE,NSMP,10163,Sigiriya Sri Lanka Heritage Site,37.78829,-28.11035,8.4,,0.394,19.69,1.4,0.333,0.042,0.004,,High
CE,NSMP,10164,Pyramids of Giza Egypt Heritage Site,32.20595,84.27065,15.6,,0.359,12.64,1.5,0.447,0.076,0.005,,High
NP,SCSN,10165,Stonehenge UK Heritage Site,39.69559,25.8746,35.9,,0.318,19.72,0.6,0.306,0.067,0.005,,High
AZ,IGPP,10166,Prambanan Indonesia Heritage Site,29.98141,-7.2317,42.9,,0.308,14.42,1.4,0.569,0.061,0.008,,High
AZ,CGS,10167,Kyoto Temples Japan Heritage Site,10.82029,-102.88878,31.6,,0.412,11.65,1.4,0.282,0.058,0.01,,High
AZ,NSMP,10168,Mount Kailash Heritage Site,33.91793,-99.13219,46.2,,0.367,15.13,1.3,0.257,0.044,0.004,,High
CE,SCSN,10169,Petra Jordan Heritage Site,26.14519,3.33011,24.2,,0.408,17.12,0.8,0.452,0.068,0.004,,High
CI,CGS,10170,Mount Fuji Japan Heritage Site,34.11241,-62.59795,8.3,,0.311,13.54,0.7,0.255,0.048,0.01,,High
CI,SCSN,10171,Prambanan Indonesia Heritage Site,32.43447,-67.1031,21.8,,0.366,11.83,0.7,0.537,0.065,0.005,,High
NP,CGS,10172,Golconda Fort Heritage Site,10.63194,-14.67177,37,,0.308,14.16,0.9,0.316,0.073,0.006,,High
CI,NSMP,10173,Bagan Myanmar Heritage Site,15.45337,-26.386,10.6,,0.379,12.62,1.1,0.53,0.044,0.009,,High
AZ,IGPP,10174,Fatehpur Sikri Heritage Site,31.56389,66.32221,53.9,,0.432,18.69,1.1,0.509,0.054,0.007,,High
NP,SCSN,10175,Bagan Myanmar Heritage Site,17.19451,46.38446,26.6,,0.331,13.45,1,0.402,0.054,0.008,,High
CE,IGPP,10176,Fatehpur Sikri Heritage Site,11.0347,70.91945,54.9,,0.304,14.2,1.3,0.303,0.043,0.005,,High
CE,IGPP,10177,Somnath Temple Heritage Site,33.58874,-3.426,48.4,,0.414,10.92,1.2,0.296,0.064,0.006,,High
CI,SCSN,10178,Taj Mahal Heritage Site,11.448,-28.79573,25.4,,0.342,18.2,1.2,0.417,0.076,0.006,,High
CE,CGS,10179,Petra Jordan Heritage Site,24.16122,-82.86767,48.6,,0.267,14.31,1.2,0.392,0.051,0.003,,High
AZ,NSMP,10180,Sigiriya Sri Lanka Heritage Site,27.48419,-34.42142,25.1,,0.425,18.69,0.5,0.582,0.061,0.006,,High
NP,NSMP,10181,Ellora Kailasa Temple Heritage Site,13.10926,40.75009,10.6,,0.358,19.77,0.8,0.5,0.05,0.01,,High
CI,IGPP,10182,Colosseum Rome Heritage Site,30.25382,80.43164,26,,0.399,13.75,0.9,0.352,0.063,0.005,,High
NP,SCSN,10183,Mount Kailash Heritage Site,22.81886,-13.35262,51,,0.357,12.79,0.8,0.375,0.078,0.007,,High
CE,NSMP,10184,Colosseum Rome Heritage Site,15.34036,89.64667,54,,0.334,19.54,1,0.548,0.067,0.006,,High
CI,NSMP,10185,Ellora Kailasa Temple Heritage Site,22.63831,-20.51513,34.4,,0.331,11.31,1.5,0.384,0.067,0.004,,High
CE,NSMP,10186,Ajanta Caves Heritage Site,28.60252,5.70907,34.2,,0.256,16.58,0.8,0.473,0.069,0.006,,High
AZ,IGPP,10187,Great Wall China Heritage Site,23.04169,-29.32961,33.7,,0.411,13.74,0.9,0.394,0.055,0.004,,High
CI,IGPP,10188,Konark Sun Temple Heritage Site,29.6134,-55.85559,18.8,,0.267,16.35,0.8,0.34,0.065,0.008,,High
NP,CGS,10189,Sun Temple Modhera Heritage Site,33.45227,-83.59411,27,,0.256,19.03,1.3,0.268,0.076,0.007,,High
AZ,CGS,10190,Borobudur Indonesia Heritage Site,39.37803,-44.18306,31.5,,0.345,10.58,1.1,0.307,0.048,0.007,,High
AZ,CGS,10191,Stonehenge UK Heritage Site,35.55101,8.34298,57.5,,0.407,15.06,0.7,0.398,0.051,0.003,,High
NP,IGPP,10192,Taj Mahal Heritage Site,27.37641,66.02895,14.1,,0.325,13.41,0.7,0.469,0.071,0.005,,High
NP,SCSN,10193,Pyramids of Giza Egypt Heritage Site,23.21417,-101.30358,51.5,,0.308,19.29,0.7,0.447,0.072,0.008,,High
NP,SCSN,10194,Chichen Itza Mexico Heritage Site,38.28878,-119.27082,54.6,,0.319,19.12,0.6,0.573,0.056,0.007,,High
